Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.251029372215271,2.097325325012207,79.12335205078125,-0.17845115491660887,-0.28604802684704067,-90.96344239911024,0.77587473,7.9742627,19.464018,7.1916585,-7.4601994,-5.5915704,-0.552074,-5.6810327,-10.370492,8.245117,-6.819007,4.803517,-3.611471,-0.6722693,9.243699,0.6247903,21.14363,-34.02853,49.79119,19.505774,-1.7537974,-0.7806051,-2.336721,-18.566402,37.485813,51.75431,-11.297077,5.2656126,-3.3468864
1,-0.24696165323257446,2.1120471954345703,79.12481689453125,-0.17562673389617017,-0.25240788487108534,-90.94564428437964,0.721155,7.9616284,19.438805,7.1813493,-7.437016,-5.578902,-0.59579515,-5.6897426,-10.384639,8.229954,-6.7974854,4.8100777,-3.6143148,-0.6769113,9.256446,0.61757165,21.1514,-34.016907,49.78671,19.424667,-1.798419,-0.7838881,-2.358643,-18.57254,37.464684,51.7435,-11.150421,5.222285,-3.3890352
2,-0.24351517856121063,2.131819248199463,79.12527465820312,-0.17016030947162683,-0.22203107596177457,-90.92747305898715,0.6706907,7.9464984,19.4152,7.173131,-7.416114,-5.562403,-0.6359633,-5.7019405,-10.399456,8.218551,-6.780754,4.8182383,-3.6158397,-0.68485683,9.2712555,0.6096767,21.15892,-34.00527,49.783672,19.34111,-1.8452616,-0.78694785,-2.3775537,-18.579231,37.437943,51.731194,-11.004946,5.1783233,-3.428136
3,-0.23886296153068542,2.154205083847046,79.12593841552734,-0.16957371140890123,-0.18550555110403563,-90.91006295955204,0.6112226,7.936296,19.38837,7.1629744,-7.3916407,-5.553715,-0.683765,-5.707518,-10.412685,8.20177,-6.75571,4.8236136,-3.6098876,-0.6867158,9.292182,0.5950597,21.171637,-33.993702,49.77201,19.267448,-1.8894919,-0.7949816,-2.3917658,-18.592371,37.396397,51.702763,-10.870217,5.1339216,-3.4665365
4,-0.23624955117702484,2.1801459789276123,79.12680053710938,-0.18266595429454122,-0.13289215808239924,-90.8944717844809,0.53374344,7.935945,19.354235,7.1363444,-7.3518643,-5.564265,-0.7518987,-5.696811,-10.421996,8.173136,-6.710723,4.8217874,-3.604895,-0.6727403,9.306686,0.5662442,21.179066,-33.98039,49.771973,19.21245,-1.9275287,-0.8073686,-2.4268491,-18.60228,37.36562,51.6909,-10.73917,5.0877194,-3.5139635
5,-0.23042075335979462,2.212036609649658,79.12438201904297,-0.20867845623581893,-0.06395373354926807,-90.88298023875004,0.4347355,7.9497457,19.32033,7.1051273,-7.31369,-5.595251,-0.84122306,-5.668146,-10.424926,8.133389,-6.6447616,4.810739,-3.5952048,-0.6407813,9.320646,0.52386266,21.185682,-33.968113,49.772964,19.185349,-1.9588736,-0.829934,-2.4717772,-18.614147,37.334576,51.677437,-10.625327,5.0420403,-3.574409
6,-0.21619568765163422,2.249887466430664,79.11875915527344,-0.26645400664241164,0.021067681169606643,-90.86942978936004,-0.022019489,8.114406,19.229994,7.817368,-7.668131,-5.6468105,-0.9409025,-5.605067,-10.433142,8.06756,-6.5545096,4.7915773,-3.5887563,-0.5754254,9.327872,0.47133568,21.190304,-33.957745,49.779278,19.17623,-1.9859333,-0.8587845,-2.5297844,-18.626616,37.30805,51.673546,-10.520078,4.9950233,-3.6445985
7,-0.20408298075199127,2.2966818809509277,79.11251831054688,-0.34839217224218216,0.11995575404307227,-90.8541617990482,-0.57063377,8.325754,19.107378,8.676444,-8.078061,-5.716472,-1.0513425,-5.5132823,-10.444719,7.976504,-6.439809,4.7676044,-3.5827734,-0.4846419,9.336955,0.40578127,21.19254,-33.936996,49.78787,19.180107,-2.0062025,-0.88912135,-2.601298,-18.637745,37.279324,51.670933,-10.41761,4.946507,-3.7122955
8,-0.18673083186149597,2.353010892868042,79.10354614257812,-0.4623552590697811,0.2349272039193444,-90.83255129640534,-1.2368472,8.597343,18.929192,9.719795,-8.542908,-5.8064094,-1.1726617,-5.3833385,-10.46589,7.852382,-6.296044,4.7407656,-3.5797482,-0.35883442,9.351492,0.3246194,21.193039,-33.893726,49.797287,19.19002,-2.020049,-0.91660047,-2.6926973,-18.648766,37.241997,51.670338,-10.307385,4.8913746,-3.7628183
9,-0.1654828041791916,2.4184656143188477,79.093017578125,-0.6094226615724454,0.37894788106857974,-90.80143533507918,-2.0567605,8.938808,18.720865,10.995576,-9.0906925,-5.915945,-1.3159355,-5.215132,-10.496928,7.6875243,-6.118272,4.7113667,-3.5912983,-0.19502789,9.3740225,0.22650045,21.191309,-33.803932,49.800873,19.237803,-2.0356665,-0.948262,-2.805031,-18.674217,37.187717,51.655437,-10.199166,4.8234863,-3.7850425
10,-0.1423533856868744,2.4901392459869385,79.07418823242188,-0.7847291941310763,0.5463469860090704,-90.76479480913711,-3.0038254,9.337068,18.48287,12.4634,-9.7097845,-6.0427985,-1.4784603,-5.0152864,-10.533447,7.4928484,-5.9133654,4.6779737,-3.6079998,-0.0023586617,9.388621,0.11064092,21.18795,-33.707863,49.813755,19.297565,-2.0466936,-0.9760529,-2.9351575,-18.699802,37.137985,51.648045,-10.079402,4.7486415,-3.7977326
11,-0.12011636048555374,2.5746757984161377,79.04620361328125,-0.985556076724972,0.7104546437960804,-90.7283320827562,-4.0428634,9.776041,18.149174,14.100642,-10.370958,-6.1879644,-1.6374118,-4.787189,-10.574343,7.281052,-5.688667,4.640094,-3.6290743,0.21748036,9.429158,-0.006960826,21.181368,-33.56682,49.812088,19.354513,-2.0462692,-1.0047208,-3.084712,-18.731031,37.080837,51.63176,-9.958284,4.675379,-3.7964299
12,-0.08720028400421143,2.669417381286621,79.00724792480469,-1.2148680207831377,0.8452917775214674,-90.69744033373559,-5.1342516,10.2414875,17.65408,15.871082,-11.038188,-6.3553133,-1.805807,-4.5335774,-10.617637,7.1430926,-5.4941154,4.5977077,-3.6685388,0.4761514,9.527657,-0.09903838,21.16262,-33.32954,49.767986,19.39443,-2.02673,-1.0370942,-3.2510133,-18.79831,37.030125,51.5724,-9.830592,4.6156526,-3.77923
13,-0.047735877335071564,2.7731854915618896,78.95610046386719,-1.4861164740498256,0.9480746430272275,-90.65915162127902,-6.2856736,10.747086,17.027878,17.798594,-11.732853,-6.57081,-2.2019098,-4.289096,-10.657603,7.5639834,-5.5903172,4.547675,-3.7135067,0.7752624,9.676433,-0.19047336,21.139034,-33.041046,49.717934,19.437119,-1.9822,-1.0586127,-3.4341428,-18.861507,36.961765,51.51158,-9.694867,4.56469,-3.7560272
14,-0.005883774720132351,2.8868486881256104,78.8886947631836,-1.8074092649430977,1.0303939109314213,-90.6133700679918,-7.5098624,11.298727,16.282476,19.877409,-12.456822,-6.8289595,-2.5857887,-3.9949288,-10.717229,8.001362,-5.6885977,4.4882636,-3.782212,1.1296513,9.870921,-0.27572232,21.10374,-32.683292,49.655964,19.492256,-1.9195925,-1.0747617,-3.636701,-18.940813,36.895065,51.435276,-9.547989,4.520021,-3.722686
15,0.04085018113255501,3.0007243156433105,78.81675720214844,-2.142377150943321,1.09123122438708,-90.58953024449795,-8.776732,11.821677,15.344234,22.030933,-13.147314,-7.0887537,-2.9839904,-3.6915967,-10.7625475,8.496054,-5.80406,4.42553,-3.8441288,1.4969577,10.108879,-0.34572572,21.060598,-32.255802,49.543697,19.473303,-1.8407338,-1.1056527,-3.8661096,-19.028862,36.824207,51.338036,-9.413057,4.4900303,-3.668876
16,0.09471943229436874,3.1202406883239746,78.7347412109375,-2.455558458044382,1.1291949837998356,-90.61702328093294,-10.054995,12.236861,14.142427,24.183342,-13.740646,-7.315915,-3.438005,-3.4206612,-10.759534,9.121143,-5.9637275,4.3659277,-3.8801227,1.8387719,10.39028,-0.3814337,21.011658,-31.73986,49.33438,19.298582,-1.7479402,-1.1723803,-4.133853,-19.129688,36.75796,51.207443,-9.308419,4.483858,-3.5837855
17,0.15421882271766663,3.25201153755188,78.65057373046875,-2.757159627792826,1.1313303498287874,-90.68016693272241,-11.366988,12.513087,12.567067,26.385471,-14.225826,-7.4881134,-3.9201365,-3.1729336,-10.729456,9.854026,-6.1631417,4.3045497,-3.8953202,2.1687195,10.731783,-0.3862435,20.95568,-31.112873,49.046837,18.901295,-1.6341977,-1.3008672,-4.436566,-19.247114,36.69157,51.056515,-9.1983,4.4955015,-3.4616723
18,0.22576501965522766,3.3964056968688965,78.56359100341797,-3.0610911701264976,1.102462444548975,-90.7708076583084,-12.703329,12.662431,10.697327,28.632944,-14.626071,-7.650439,-4.433097,-2.9336267,-10.680343,10.694256,-6.404034,4.23946,-3.8997219,2.502078,11.128646,-0.36694267,20.891432,-30.386776,48.69205,18.340652,-1.4994246,-1.4729065,-4.769022,-19.382486,36.62605,50.88048,-9.084689,4.523402,-3.3087385
19,0.30523011088371277,3.5402865409851074,78.47106170654297,-3.3347660270658457,1.0674129920426052,-90.93006223059264,-13.990628,12.683166,8.74665,30.787558,-14.932229,-7.859311,-5.0309997,-2.7307599,-10.560192,11.673565,-6.6841264,4.183395,-3.8775938,2.7998905,11.546497,-0.30872247,20.82368,-29.597063,48.21038,17.723032,-1.3559756,-1.6431931,-5.1393304,-19.536411,36.574387,50.643948,-9.046666,4.5826516,-3.1318736
20,0.3972439467906952,3.690539598464966,78.37543487548828,-3.544998391476233,1.0510714499282336,-91.19885385432514,-15.165198,12.598324,6.922677,32.723457,-15.149828,-8.156916,-5.779079,-2.592651,-10.317315,12.846873,-7.0121117,4.149794,-3.811582,3.0231674,11.95166,-0.19301395,20.76234,-28.778618,47.535625,17.153473,-1.2177573,-1.7678367,-5.555649,-19.707918,36.55015,50.309834,-9.162233,4.6876683,-2.9376643
21,0.4954751133918762,3.845148801803589,78.27413177490234,-3.6761438582013573,1.0572400338616739,-91.58062771374827,-16.255142,12.396887,5.2044277,34.482983,-15.268521,-8.52167,-6.699875,-2.5380964,-9.9540415,14.252791,-7.4138703,4.142692,-3.6932569,3.1575825,12.342358,-0.0154009815,20.71515,-27.922928,46.671894,16.590963,-1.0864538,-1.853576,-6.0295787,-19.894293,36.56508,49.92344,-9.44677,4.8826604,-2.7040465
22,0.5997366905212402,4.008831977844238,78.16734313964844,-3.745170117309442,1.074153458114495,-92.05598776575198,-17.277693,12.080537,3.5107188,36.121834,-15.299756,-8.939832,-7.7619843,-2.5461562,-9.491326,15.860048,-7.876661,4.1565447,-3.5326905,3.2214553,12.735075,0.22327887,20.684721,-27.012453,45.632534,16.000431,-0.9549418,-1.9194186,-6.5556464,-20.09399,36.611607,49.486206,-9.861681,5.1448145,-2.4339187
