Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.22374014556407928,2.0971527099609375,79.1253890991211,0.28240353905900056,-0.28736229523511175,-89.02951093403038,-0.381859,5.548281,10.398978,7.8800426,-6.623348,-4.804821,0.60810363,-8.1375,-19.429903,7.571022,-7.6632466,5.592489,0.5576184,-0.011166249,9.278757,0.49649495,20.495222,-34.119366,50.38612,10.947151,5.2508855,3.6209319,-2.2500715,-19.248672,37.421936,51.12282,-19.773777,-1.7284904,1.2029626
1,0.21915927529335022,2.1118693351745605,79.1263656616211,0.2820311743440432,-0.2536821930473811,-89.04760261815755,-0.42439577,5.554395,10.414044,7.8625402,-6.6006975,-4.811388,0.5532102,-8.127182,-19.403906,7.560696,-7.6400385,5.579859,0.5620294,-0.00963803,9.288148,0.47612196,20.499857,-34.101986,50.378086,10.798303,5.2087154,3.6612608,-2.2577176,-19.25259,37.41218,51.122982,-19.691881,-1.7725989,1.2029938
2,0.2152697890996933,2.1316843032836914,79.12642669677734,0.27886596044439166,-0.22344438071225928,-89.0661127705166,-0.46318167,5.5640726,10.429852,7.849004,-6.5829644,-4.819503,0.5011567,-8.11484,-19.379297,7.5560713,-7.6210103,5.563451,0.55998737,-0.006063048,9.310274,0.46436933,20.51315,-34.062153,50.352776,10.65771,5.1643167,3.6928794,-2.2694483,-19.262474,37.398968,51.11411,-19.611515,-1.8206605,1.2064638
3,0.20998646318912506,2.154062032699585,79.1264877319336,0.2813234134089849,-0.18667968848754643,-89.08391754922434,-0.510133,5.566532,10.444237,7.8300123,-6.556744,-4.824856,0.44057617,-8.107777,-19.351383,7.5477214,-7.5975723,5.554806,0.561228,-0.007936525,9.321391,0.44226518,20.518522,-34.03957,50.343624,10.513018,5.121177,3.733187,-2.2833428,-19.265678,37.389416,51.11611,-19.534952,-1.8640862,1.2086031
4,0.20640625059604645,2.1800427436828613,79.12648010253906,0.29932915564249785,-0.13406044088236027,-89.10012964075005,-0.57693636,5.550792,10.455306,7.7990923,-6.5106707,-4.8229375,0.35630393,-8.1145525,-19.314672,7.5350046,-7.5647826,5.565589,0.5550764,-0.028157057,9.338329,0.41013092,20.530365,-34.00093,50.327965,10.385171,5.0746284,3.775246,-2.3157647,-19.270924,37.373974,51.11595,-19.48296,-1.9029218,1.2209797
5,0.2005705088376999,2.2119390964508057,79.1240005493164,0.3253537631754968,-0.0650961479966992,-89.112009845831,-0.66558,5.522149,10.458747,7.7582903,-6.4443364,-4.8119774,0.25444067,-8.129119,-19.279783,7.5095015,-7.5295,5.5965767,0.5437629,-0.06103987,9.351337,0.37195092,20.54727,-33.964725,50.30827,10.271735,5.029122,3.8319962,-2.360529,-19.27564,37.363033,51.117496,-19.456142,-1.9344658,1.2428935
6,0.18645599484443665,2.2498726844787598,79.11752319335938,0.38864299222629617,0.02128935823836085,-89.12722139757109,-0.76038915,5.4517097,10.47047,7.679901,-6.3477974,-4.791649,-0.251234,-8.316237,-19.178293,8.324803,-7.937389,5.649688,0.5403603,-0.13028878,9.350503,0.31362686,20.556639,-33.94327,50.309402,10.163303,4.983482,3.9019592,-2.4125376,-19.276943,37.35418,51.126717,-19.4453,-1.9604346,1.2702081
7,0.17438635230064392,2.2967326641082764,79.11051177978516,0.4758834931466205,0.12102946448147844,-89.14375046824068,-0.86697453,5.3530936,10.4848585,7.5790744,-6.2281475,-4.766624,-0.81760216,-8.538533,-19.048803,9.218556,-8.365013,5.7204843,0.5346136,-0.22670104,9.356158,0.24580817,20.571182,-33.90914,50.30232,10.0620775,4.93427,3.9649186,-2.4802997,-19.276844,37.331257,51.13453,-19.45068,-1.9816047,1.3019258
8,0.15711648762226105,2.353101968765259,79.1007080078125,0.5946665635831613,0.23659804520458125,-89.16630947742864,-0.9837974,5.2167354,10.508407,7.444088,-6.078745,-4.7388515,-1.4910525,-8.816507,-18.864939,10.273719,-8.835417,5.81139,0.5328144,-0.35655126,9.363177,0.15676932,20.585157,-33.870564,50.301754,9.952039,4.878966,4.0122266,-2.5622096,-19.27517,37.28633,51.143948,-19.461613,-1.9955379,1.3300735
9,0.13598579168319702,2.4185798168182373,79.08924865722656,0.746336561810292,0.38109994863567054,-89.19822743458505,-1.1218768,5.042154,10.541578,7.2681637,-5.8957887,-4.708518,-2.3112037,-9.161401,-18.651371,11.545462,-9.380418,5.921835,0.5443414,-0.5247216,9.373443,0.04969176,20.614227,-33.818142,50.28768,9.840223,4.811567,4.032843,-2.664621,-19.26922,37.20099,51.152927,-19.506264,-2.0103467,1.3608824
