Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.20463192462921143,2.9478018283843994,78.76680755615234,-0.3436466222996956,-1.2722583811701735,-91.26560006836439,1.7132357,6.749326,18.318436,7.3934317,-7.6799183,-4.854408,0.805903,-4.5127416,-10.410579,8.045438,-6.9866157,4.5038514,-2.8532305,-0.38275358,8.603293,-0.40308425,20.898954,-33.391716,51.221054,21.45363,-1.84083,-0.07713841,-2.6941373,-17.658722,37.849464,52.797447,-12.014737,5.468736,-1.8136536
1,0.20754067599773407,2.968937635421753,78.76790618896484,-0.3408228774683882,-1.2454394286147212,-91.28169605710413,1.6962905,6.735053,18.337236,7.333303,-7.662032,-4.890307,0.7636499,-4.514002,-10.39505,8.018986,-6.964317,4.5179195,-2.810469,-0.39374205,8.624454,-0.42169067,20.92986,-33.356564,51.195446,21.401537,-1.8830178,-0.0720153,-2.7039526,-17.677517,37.86601,52.760834,-12.009154,5.471934,-1.8155961
2,0.20949605107307434,2.990769386291504,78.7712173461914,-0.3383578309908267,-1.2177998942982127,-91.29762981348888,1.6780814,6.721955,18.355742,7.2741547,-7.6446614,-4.9263587,0.72199416,-4.5142264,-10.380762,7.9896064,-6.9411583,4.5317006,-2.7680342,-0.40263054,8.641064,-0.44780862,20.9499,-33.320496,51.184647,21.350052,-1.9248655,-0.066483445,-2.719605,-17.689573,37.88427,52.73748,-12.004832,5.4765873,-1.8198391
3,0.21682269871234894,3.015320062637329,78.77129364013672,-0.33502015348209446,-1.1917185353182569,-91.31358645377439,1.6609352,6.7089005,18.374205,7.2162848,-7.627821,-4.962062,0.68172675,-4.5142493,-10.3648205,7.9607406,-6.916799,4.54599,-2.7259054,-0.4107045,8.657285,-0.47753346,20.96507,-33.290096,51.183628,21.301737,-1.9669478,-0.05685806,-2.7368302,-17.698326,37.90278,52.72023,-12.000584,5.478303,-1.8227992
4,0.22422638535499573,3.037165880203247,78.77235412597656,-0.33220356905064014,-1.1694866474905352,-91.32953525507088,1.6476344,6.6944914,18.393072,7.158296,-7.6106243,-4.9970226,0.6430772,-4.5151234,-10.344357,7.936,-6.890468,4.561596,-2.7038193,-0.4217687,8.6833,-0.47786134,20.998764,-33.24403,51.151646,21.261831,-2.0119674,-0.044944238,-2.7576187,-17.715279,37.94003,52.69058,-11.990165,5.473243,-1.8201909
5,0.23037977516651154,3.0607857704162598,78.775146484375,-0.3294259643861396,-1.1507711657115298,-91.34552114793996,1.6378053,6.6802645,18.411583,7.1011715,-7.593332,-5.033997,0.6066146,-4.513945,-10.317402,7.9140835,-6.859344,4.5768943,-2.6777713,-0.43389267,8.710871,-0.4809789,21.038843,-33.22371,51.125725,21.225388,-2.0552037,-0.022677734,-2.7715814,-17.730856,37.969784,52.66231,-11.9792795,5.4565907,-1.810535
6,0.23564310371875763,3.0844998359680176,78.77460479736328,-0.32724176895131774,-1.1347299922047345,-91.36156065122071,1.6311771,6.665845,18.43014,7.042492,-7.574461,-5.072276,0.5720424,-4.5113153,-10.285951,7.8935304,-6.824238,4.5921392,-2.6439462,-0.44119945,8.732806,-0.51147735,21.04897,-33.227512,51.147686,21.200636,-2.0979278,0.011271407,-2.7857835,-17.73384,37.98471,52.65647,-11.975958,5.4309545,-1.7957352
7,0.2429998219013214,3.10669207572937,78.77633666992188,-0.3209160749198627,-1.1224069377858137,-91.37785691268843,1.6276683,6.646745,18.450258,6.9862757,-7.557473,-5.1059685,0.53944093,-4.5147095,-10.252491,7.876618,-6.790433,4.6112933,-2.6169424,-0.4591061,8.761885,-0.5251725,21.08524,-33.235165,51.14657,21.163807,-2.1459332,0.0462267,-2.7981472,-17.741701,38.014244,52.63635,-11.963856,5.4039907,-1.7816182
8,0.2481955736875534,3.12929105758667,78.7746353149414,-0.3066822144897411,-1.1148156400848492,-91.39463141702284,1.6296424,6.6180506,18.473995,6.929442,-7.541472,-5.129107,0.5098376,-4.5305257,-10.219901,7.8646626,-6.7634535,4.638487,-2.5907228,-0.48892823,8.801224,-0.5348424,21.132425,-33.237675,51.138832,21.119259,-2.2068272,0.077509284,-2.8065927,-17.749119,38.03664,52.60014,-11.964534,5.379764,-1.7668581
9,0.2566462457180023,3.150404214859009,78.77314758300781,-0.28404393031290176,-1.1128813142646918,-91.41102734605695,1.6311051,6.581904,18.498533,6.8897634,-7.539688,-5.136421,0.48392746,-4.5594535,-10.19145,7.860377,-6.7482853,4.675504,-2.5665476,-0.5307678,8.846894,-0.53657776,21.190943,-33.245724,51.123314,21.083519,-2.2862465,0.11964157,-2.8083673,-17.755365,38.053894,52.548058,-11.98366,5.3607726,-1.7510082
