Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.2326168566942215,2.9473862648010254,78.76543426513672,0.43816333342462616,-1.2731208215883218,-88.72180343437832,0.96663594,4.3912907,10.425248,7.6934676,-6.795916,-4.507228,1.55729,-6.8945622,-18.298265,7.749196,-7.8725543,4.8527374,-0.20792118,-0.2482827,8.6314335,0.0667174,19.608452,-34.520176,51.431606,11.70422,5.4590116,2.102795,-3.2366884,-19.02359,36.76597,52.47951,-21.718485,-1.809844,0.5438302
1,-0.23557373881340027,2.9684174060821533,78.76713562011719,0.4358694933173952,-1.2471304707030084,-88.70687265001953,0.9283864,4.3917437,10.411259,7.6615353,-6.7712317,-4.5213084,1.5375602,-6.881856,-18.315432,7.6967125,-7.8586464,4.888651,-0.26179978,-0.24337393,8.637443,0.059538323,19.612295,-34.52455,51.42247,11.706427,5.461506,2.1065323,-3.2672224,-19.027666,36.755226,52.482765,-21.668081,-1.8446419,0.52891165
2,-0.237570121884346,2.9902725219726562,78.77133178710938,0.43273951616645817,-1.2188693996671085,-88.69005636057078,0.8850718,4.3927655,10.395925,7.6338553,-6.748772,-4.53516,1.5217652,-6.867077,-18.335224,7.6310863,-7.837903,4.924485,-0.29907355,-0.2329706,8.660219,0.035802558,19.625326,-34.548996,51.397465,11.698306,5.466998,2.1114666,-3.3107066,-19.041147,36.70811,52.48948,-21.619314,-1.8929853,0.52457565
3,-0.24494950473308563,3.0147666931152344,78.7723388671875,0.4293938968725698,-1.1926664369498279,-88.67384594230639,0.844577,4.392793,10.379794,7.605047,-6.724396,-4.5494432,1.504804,-6.8539596,-18.354086,7.5730367,-7.8211837,4.9601235,-0.33820736,-0.22521198,8.676282,0.017810537,19.637026,-34.57135,51.379986,11.692507,5.4675794,2.1139464,-3.3433685,-19.054153,36.673748,52.49306,-21.571846,-1.937395,0.51459175
4,-0.252512127161026,3.0365493297576904,78.77474212646484,0.42697375106124746,-1.1706288702763035,-88.6583230023408,0.807021,4.3933396,10.359944,7.5788097,-6.69739,-4.5651245,1.4912722,-6.8399177,-18.37246,7.515689,-7.804266,4.9949527,-0.36249068,-0.21861142,8.69928,-0.005075012,19.651974,-34.605885,51.359062,11.68317,5.4634194,2.1120532,-3.357001,-19.07423,36.63497,52.4794,-21.533876,-1.9810365,0.49822482
5,-0.2590339779853821,3.0600790977478027,78.77934265136719,0.42594409903005354,-1.1520070874753443,-88.64258575193384,0.7722841,4.3902187,10.333716,7.553335,-6.664321,-4.580365,1.4805845,-6.827731,-18.390417,7.46036,-7.787804,5.031935,-0.39016607,-0.21199034,8.72321,-0.021386474,19.664387,-34.63405,51.340828,11.67333,5.446819,2.103026,-3.3757348,-19.09599,36.620354,52.47736,-21.500172,-2.0243828,0.47212705
6,-0.26500242948532104,3.0836544036865234,78.78112030029297,0.42725130977949977,-1.1360130190907998,-88.62692474634161,0.73986953,4.3837824,10.303411,7.528503,-6.627017,-4.595473,1.472417,-6.8172374,-18.407877,7.405165,-7.770861,5.070213,-0.41872263,-0.2073198,8.747213,-0.036203705,19.67323,-34.65879,51.328667,11.663368,5.4219346,2.089093,-3.3976011,-19.11696,36.621094,52.48529,-21.472313,-2.066902,0.4384604
7,-0.2735963761806488,3.105764627456665,78.78392028808594,0.4271602592238225,-1.1235934439099815,-88.61116613265933,0.71023774,4.3804846,10.271832,7.505681,-6.5902996,-4.6143804,1.4664912,-6.805159,-18.426289,7.3534155,-7.7560296,5.1040897,-0.44728318,-0.19893984,8.775652,-0.048929885,19.680273,-34.68032,51.313446,11.658118,5.393589,2.0725167,-3.4231184,-19.139902,36.628628,52.501347,-21.442427,-2.11665,0.40237886
8,-0.27992209792137146,3.1282529830932617,78.7833480834961,0.41845816751137643,-1.1161713612514272,-88.59489764520355,0.6837095,4.390412,10.240984,7.487775,-6.560166,-4.6414385,1.4668046,-6.7825685,-18.448574,7.3008385,-7.7424145,5.127296,-0.4711088,-0.17734556,8.8168125,-0.05612761,19.691336,-34.706005,51.273254,11.65596,5.3707557,2.058711,-3.430809,-19.187454,36.632378,52.48755,-21.397627,-2.1756406,0.369175
9,-0.2884351909160614,3.1493523120880127,78.78193664550781,0.39603999010915936,-1.1143134799622025,-88.5785456868787,0.66052574,4.418706,10.212962,7.4783244,-6.5425177,-4.6784296,1.4724083,-6.7453303,-18.473654,7.2518067,-7.735528,5.1345816,-0.49495625,-0.13933104,8.863791,-0.05742609,19.699976,-34.72344,51.221157,11.674252,5.351808,2.0431387,-3.4390306,-19.240726,36.643475,52.478413,-21.363195,-2.255111,0.32514197
