Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.32942652702331543,1.9381840229034424,79.03910064697266,0.559897754088272,-1.1196298598787238,-90.07750480947765,0.115160175,4.291277,9.419172,7.8530874,-6.4769273,-4.2178354,1.6186125,-6.60196,-15.37328,7.234205,-7.862834,5.9419804,0.53228265,-1.1011603,9.433912,0.52998304,19.885635,-32.122837,51.960262,9.241626,5.1282725,3.0768816,-5.881553,-17.560461,40.909134,53.224064,-21.255142,-3.4311757,2.2252102
1,0.34270086884498596,1.9456747770309448,79.03939819335938,0.5705009358688338,-1.1275299652959476,-90.12741581910574,0.13570835,4.277216,9.486031,7.8319273,-6.4556403,-4.2165003,1.6004204,-6.623899,-15.323062,7.2278285,-7.7938457,5.999824,0.5419448,-1.1030667,9.483867,0.36401343,19.963772,-32.35534,52.005074,8.973968,5.1068144,2.8089983,-5.8850913,-17.596954,40.822643,53.059414,-21.394827,-3.436662,2.302083
2,0.3566705286502838,1.9583027362823486,79.04067993164062,0.580470962324861,-1.1347567669101868,-90.17274474649977,0.15836442,4.262319,9.54725,7.8070073,-6.435107,-4.2186427,1.5870644,-6.644517,-15.278356,7.2183595,-7.7322536,6.05669,0.5666583,-1.111439,9.534005,0.21849795,20.068014,-32.601933,52.020626,8.699728,5.08755,2.557257,-5.866295,-17.639956,40.718254,52.877453,-21.531174,-3.4430826,2.380654
3,0.3726964294910431,1.9812034368515015,79.04595947265625,0.5908892142856149,-1.1430673703434389,-90.22722346779878,0.17649557,4.2493105,9.619549,7.7889166,-6.412459,-4.214185,1.5651873,-6.66517,-15.223794,7.212103,-7.654794,6.11762,0.5933078,-1.1226147,9.601147,0.05003734,20.193022,-32.856747,52.021145,8.414367,5.069938,2.2632422,-5.855606,-17.691465,40.60384,52.671593,-21.680824,-3.4525828,2.4617648
4,0.3945103883743286,2.0137243270874023,79.0530014038086,0.5999823241299074,-1.1537704858411022,-90.30473258144063,0.1873935,4.239511,9.720045,7.778926,-6.379223,-4.1931133,1.5207974,-6.6876845,-15.143929,7.2153955,-7.537693,6.1881804,0.6273984,-1.1360377,9.705651,-0.19267644,20.346266,-33.136555,52.015434,8.104969,5.054132,1.8674148,-5.8656597,-17.761944,40.462814,52.41542,-21.864483,-3.469229,2.5486646
5,0.42287442088127136,2.0576701164245605,79.06385040283203,0.6062162770294357,-1.1729265065265724,-90.40876679757541,0.19331273,4.2359447,9.854217,7.7891283,-6.3411646,-4.15261,1.4560019,-6.7121305,-15.036254,7.2350345,-7.376137,6.2648044,0.68057466,-1.1470447,9.857035,-0.51404744,20.532698,-33.446426,51.992725,7.7403984,5.040021,1.3240485,-5.880324,-17.859924,40.26969,52.07604,-22.104805,-3.4904683,2.6486874
6,0.45763999223709106,2.1134531497955322,79.07787322998047,0.6095420430763597,-1.1979276826807306,-90.53199954480351,0.1960363,4.2368503,10.012681,7.811674,-6.297898,-4.098615,1.3753387,-6.736931,-14.908626,7.2677402,-7.1831746,6.3466268,0.75009227,-1.1561038,10.045681,-0.88928187,20.750906,-33.780415,51.944996,7.3362775,5.030375,0.67393064,-5.8904734,-17.988731,40.035065,51.66027,-22.385254,-3.5155046,2.759464
7,0.496957927942276,2.1832735538482666,79.09579467773438,0.6131788020062287,-1.2169016046006833,-90.67201923344895,0.18472706,4.2371163,10.189826,7.833949,-6.241103,-4.034553,1.2710558,-6.7619023,-14.761532,7.299999,-6.959667,6.4431124,0.81836045,-1.17099,10.263431,-1.3279396,21.00142,-34.141148,51.88496,6.9452405,5.0284367,-0.013297175,-5.921713,-18.152231,39.800327,51.20083,-22.663752,-3.5507307,2.869692
8,0.532615065574646,2.2692179679870605,79.11457061767578,0.6193642597435641,-1.2182760727221897,-90.82619270426912,0.1484632,4.2326016,10.379742,7.8439093,-6.16269,-3.9635031,1.1409992,-6.784528,-14.596214,7.3045864,-6.6987414,6.5635767,0.8666554,-1.199201,10.502496,-1.8372498,21.285685,-34.53004,51.823463,6.6203213,5.0354214,-0.66819876,-5.9991474,-18.353865,39.60717,50.729717,-22.899647,-3.6023688,2.9681015
9,0.5735369324684143,2.369612693786621,79.13298034667969,0.6326553318505462,-1.2031774320897974,-90.99224825073414,0.08944053,4.216814,10.578347,7.838295,-6.0618863,-3.8844109,0.98717767,-6.8111463,-14.419911,7.2831593,-6.406277,6.7155533,0.89243877,-1.2455586,10.76364,-2.426641,21.607222,-34.975014,51.77659,6.3304367,5.0281134,-1.2987732,-6.122619,-18.596533,39.470615,50.23671,-23.098423,-3.6604364,3.0547643
