Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.03320096433162689,2.279634952545166,78.98729705810547,-0.7920985120935292,-0.9257337735642465,-90.39531299394292,3.4029846,8.101801,17.504227,6.9175143,-8.653831,-7.2429543,0.7499017,-3.8764012,-5.2270494,8.342278,-7.479771,4.6396937,-2.9962451,0.56600136,10.435333,-0.11238678,21.175457,-33.843773,47.632847,22.130632,-3.0815024,0.31946018,-1.8217608,-18.52643,33.114414,52.08464,-11.012731,5.440156,-2.8596678
1,-0.046730730682611465,2.297395706176758,78.99407196044922,-0.8228910674261054,-0.922660917189711,-90.42358388900976,3.3815606,8.157351,17.519434,6.9177732,-8.6124325,-7.251206,0.71407884,-3.8201425,-5.2168636,8.343174,-7.4315777,4.5998297,-2.9373522,0.641856,10.50926,-0.09055551,21.201496,-33.862907,47.359295,22.420523,-3.0934782,0.37720215,-1.8463484,-18.538729,32.997097,51.88948,-11.621524,5.544003,-2.8679636
2,-0.059993598610162735,2.3221092224121094,79.00119018554688,-0.8564067990037415,-0.9199014251247288,-90.45057181975082,3.3611434,8.214972,17.533783,6.9179053,-8.573565,-7.258083,0.68155074,-3.7619293,-5.2084446,8.340179,-7.382285,4.5601244,-2.8644524,0.7186565,10.582442,-0.080662504,21.23223,-33.902863,47.089844,22.712774,-3.1037133,0.4351949,-1.8532616,-18.553576,32.854984,51.69059,-12.2414,5.6522207,-2.87084
3,-0.07708960771560669,2.3542439937591553,79.0062026977539,-0.8923434557160493,-0.9167844491708577,-90.47933215086617,3.3379,8.276846,17.548492,6.919008,-8.529493,-7.2679563,0.64636546,-3.6996844,-5.19889,8.3364935,-7.3306937,4.5202293,-2.7907817,0.8014388,10.658488,-0.0722406,21.257578,-33.939884,46.822956,22.990524,-3.1147687,0.49456894,-1.8708699,-18.566751,32.720867,51.480854,-12.850697,5.7505937,-2.8778055
4,-0.09533865004777908,2.3937127590179443,79.00973510742188,-0.9292074166026012,-0.9126027967015217,-90.51293071944828,3.3033247,8.344506,17.56421,6.9323874,-8.477629,-7.2852254,0.60539216,-3.6331413,-5.185201,8.328505,-7.271999,4.479617,-2.6876447,0.8907151,10.749338,-0.07835341,21.28953,-33.9968,46.54734,23.222898,-3.1270385,0.5550375,-1.8840992,-18.587076,32.56414,51.208897,-13.446895,5.823525,-2.8911002
5,-0.1140795648097992,2.4340054988861084,79.0112533569336,-0.9713199172791225,-0.9073885101600773,-90.55683104992359,3.0786214,8.483945,17.55646,7.354619,-8.625744,-7.3134556,0.5587068,-3.5544686,-5.16309,8.311215,-7.202739,4.437959,-2.5584512,0.9959226,10.854034,-0.09628342,21.328102,-34.07515,46.258152,23.410257,-3.1370387,0.6183149,-1.8928668,-18.61954,32.386463,50.863255,-14.071259,5.867568,-2.9172008
6,-0.1381552517414093,2.4828102588653564,79.01313018798828,-1.0142268431695622,-0.9027604512368494,-90.60952947266188,2.8442824,8.629921,17.55191,7.7936707,-8.771241,-7.348039,0.5062548,-3.4715073,-5.132654,8.293647,-7.129509,4.3957844,-2.4187121,1.1096681,10.967181,-0.119989425,21.36284,-34.157448,45.96589,23.569103,-3.14619,0.683883,-1.909949,-18.657375,32.207935,50.476295,-14.709475,5.8914957,-2.9542909
7,-0.15849414467811584,2.532522678375244,79.0151596069336,-1.0622906074136442,-0.8947246685924254,-90.65648988252634,2.5862842,8.784905,17.538967,8.262249,-8.920654,-7.3879642,0.4513536,-3.3835707,-5.1090713,8.266496,-7.0469213,4.3528395,-2.2733612,1.2314436,11.089049,-0.14682677,21.393177,-34.232944,45.67436,23.690762,-3.162173,0.7492248,-1.942628,-18.699013,32.040783,50.061737,-15.267778,5.898035,-2.993299
8,-0.18488167226314545,2.5914597511291504,79.01634216308594,-1.1102500319072452,-0.8791501356467708,-90.68402215692984,2.2916868,8.946805,17.507128,8.768149,-9.0759115,-7.431376,0.358176,-3.297414,-5.1037035,8.304011,-6.994411,4.3094153,-2.117046,1.3593656,11.226062,-0.17270981,21.43052,-34.299477,45.36961,23.762308,-3.192427,0.8102879,-1.9750443,-18.76174,31.883776,49.598965,-15.650753,5.889454,-3.0208426
9,-0.21403124928474426,2.652407169342041,79.01615142822266,-1.1596331098859158,-0.8552294601072586,-90.69452314089202,1.9644097,9.1127615,17.461742,9.303924,-9.237563,-7.4782176,0.21827641,-3.2155092,-5.1132464,8.420906,-6.9786777,4.2698197,-1.9680252,1.4902152,11.372174,-0.18004508,21.46569,-34.326214,45.04707,23.798702,-3.2374496,0.8620888,-2.0318072,-18.83347,31.77297,49.119152,-15.777638,5.8620596,-3.045379
