Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.23122532665729523,2.270737648010254,78.76130676269531,-0.6492765682031144,-1.8189308740565593,-87.67112180082138,4.5454435,8.303144,18.610886,7.244216,-8.853701,-7.2458715,2.5983796,-5.183856,-12.385598,8.799087,-8.246473,3.9409788,-3.716637,0.86339635,9.23166,-4.0287704,19.93666,-41.178226,52.85123,21.104797,-5.4918084,-2.0247183,-4.5905123,-17.81988,40.45323,54.876064,-10.139993,4.3614845,-2.9241738
1,-0.24198052287101746,2.285773754119873,78.7662353515625,-0.6565508970589666,-1.8180303750955082,-87.70453075663129,4.515047,8.338609,18.637747,7.2741785,-8.811339,-7.247523,2.5610185,-5.1550193,-12.358884,8.808843,-8.220662,3.9129736,-3.6471975,0.9051904,9.2977085,-3.98412,19.958557,-41.035866,52.57761,21.10773,-5.624215,-1.8147844,-4.6327863,-17.83208,40.42701,54.867294,-10.161229,4.3838162,-2.9379091
2,-0.2557148039340973,2.30539870262146,78.77279663085938,-0.6624274910861867,-1.8160354380134696,-87.73785754239152,4.4848685,8.371544,18.664976,7.304216,-8.7727585,-7.2466493,2.5249093,-5.128622,-12.330912,8.815945,-8.19577,3.8878903,-3.606316,0.9445052,9.364258,-3.9178069,19.99098,-40.858135,52.29525,21.126455,-5.762908,-1.6109126,-4.6934114,-17.846302,40.43102,54.87056,-10.173914,4.404512,-2.953806
3,-0.27557241916656494,2.335141897201538,78.77921295166016,-0.6713927904665927,-1.8161291290448869,-87.77132510288824,4.453327,8.409126,18.691578,7.336194,-8.727708,-7.250787,2.486765,-5.0976524,-12.305222,8.826892,-8.167896,3.8568766,-3.550309,0.9879015,9.434098,-3.858532,20.018269,-40.68844,52.00255,21.133198,-5.89352,-1.4009668,-4.751029,-17.855032,40.420547,54.869076,-10.196173,4.42788,-2.9658468
4,-0.30055081844329834,2.3749349117279053,78.78488159179688,-0.6884405058781732,-1.8217290698824664,-87.80482188660598,4.4173303,8.460862,18.716026,7.3748837,-8.667289,-7.2675915,2.4465935,-5.052573,-12.286216,8.84074,-8.1284275,3.8109155,-3.485389,1.0438427,9.523362,-3.7819536,20.051117,-40.486393,51.64297,21.128077,-6.0062537,-1.1831412,-4.8183627,-17.861969,40.400913,54.84863,-10.238266,4.458411,-2.965523
5,-0.32954534888267517,2.4181787967681885,78.7920150756836,-0.7153754128104012,-1.8380804765602081,-87.83927126642538,4.3811855,8.53055,18.736816,7.4233866,-8.59454,-7.301839,2.409474,-4.9893293,-12.275772,8.857972,-8.075433,3.743766,-3.4096441,1.1146057,9.638361,-3.6924064,20.09505,-40.261753,51.20803,21.115612,-6.0945687,-0.93936217,-4.8956156,-17.86715,40.36318,54.809113,-10.29719,4.4984202,-2.9389062
6,-0.35521870851516724,2.4647302627563477,78.80159759521484,-0.7532374885560975,-1.8619046303732367,-87.87403423241794,4.344499,8.616074,18.754921,7.4788084,-8.512393,-7.348404,2.3732786,-4.9109235,-12.272027,8.880486,-8.014328,3.6613808,-3.3255188,1.1972138,9.773265,-3.588287,20.154861,-40.02039,50.708126,21.096178,-6.1651926,-0.67870474,-4.979316,-17.8705,40.310005,54.75374,-10.370105,4.544937,-2.8938015
7,-0.3859809935092926,2.5195865631103516,78.80982208251953,-0.8066646182664308,-1.8803126527140395,-87.90346579629079,4.133059,8.778833,18.743067,7.8908215,-8.597576,-7.402877,2.3341427,-4.809983,-12.27876,8.885974,-7.935298,3.5718668,-3.204905,1.304012,9.901937,-3.505949,20.187784,-39.7996,50.206596,21.037014,-6.2250633,-0.42609987,-5.0452175,-17.870853,40.227955,54.67804,-10.467924,4.594752,-2.8575566
8,-0.4257422983646393,2.5811853408813477,78.8165283203125,-0.8798750926421389,-1.8836565183041714,-87.92523436764095,3.7195616,9.028087,18.697535,8.693369,-8.861182,-7.459117,2.2876127,-4.6822042,-12.29602,8.861856,-7.8343196,3.4835184,-3.1227367,1.4291341,10.047842,-3.3231764,20.281046,-39.447525,49.553192,20.954332,-6.2886424,-0.24145843,-5.141465,-17.87285,40.19049,54.56759,-10.601774,4.6451354,-2.850322
9,-0.4652178883552551,2.6447603702545166,78.82283020019531,-0.9658829461433841,-1.8730257014926066,-87.94124007426655,3.2603629,9.30178,18.64772,9.542691,-9.120039,-7.5121045,2.2354975,-4.534147,-12.320121,8.805573,-7.7070527,3.3999355,-3.0118012,1.5710908,10.185615,-3.1195338,20.375618,-39.06715,48.837666,20.811197,-6.345754,-0.1229946,-5.2182755,-17.872818,40.13342,54.415398,-10.795687,4.7036276,-2.8848536
10,-0.5078529119491577,2.72334361076355,78.8305435180664,-1.0636286959157186,-1.8531109820414793,-87.95318550886918,2.7518535,9.603063,18.590294,10.459387,-9.391559,-7.5657406,2.1671448,-4.369349,-12.34916,8.75045,-7.571409,3.3153284,-2.888405,1.7313782,10.324307,-2.8910935,20.468346,-38.639713,48.060066,20.630377,-6.3959875,-0.052957892,-5.290368,-17.871685,40.06666,54.231277,-11.039004,4.7693615,-2.9453855
11,-0.5559806227684021,2.8010482788085938,78.83739471435547,-1.1571116061336033,-1.8259590063918096,-87.96580999601873,2.2348287,9.901907,18.532394,11.363881,-9.63421,-7.620739,2.0916111,-4.203824,-12.377968,8.681661,-7.425143,3.2300937,-2.7508473,1.8922423,10.465561,-2.6354206,20.56925,-38.185387,47.240696,20.404724,-6.4512634,-0.0074224425,-5.3665185,-17.871828,40.024822,54.02633,-11.279964,4.826193,-3.0260322
12,-0.6107184290885925,2.8878276348114014,78.84405517578125,-1.2319966307298365,-1.793238356401019,-87.98398932431647,1.742965,10.17068,18.480658,12.19091,-9.816123,-7.6781344,1.9988616,-4.058548,-12.3992,8.622969,-7.286694,3.1441612,-2.5856621,2.0381587,10.60817,-2.367657,20.674688,-37.740852,46.421284,20.125116,-6.523361,0.040191934,-5.444609,-17.875973,40.027805,53.807343,-11.470969,4.857699,-3.1205251
