Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.2032715082168579,2.271646022796631,78.75608825683594,0.7521777657116496,-1.8226976462701154,-92.30836951407372,2.7599425,5.044533,12.392752,8.445053,-8.054064,-3.9416323,4.3916636,-8.463381,-18.597437,7.611746,-9.05471,7.24813,0.6692872,-1.5118439,9.186896,-1.9747734,19.8399,-37.164444,53.627434,9.825601,4.3563943,3.1942267,-6.533608,-17.72907,44.456966,54.08811,-21.307404,-5.487815,2.4981835
1,0.21374601125717163,2.286689043045044,78.76075744628906,0.7613428668312083,-1.8217705709437144,-92.27532849806646,2.723844,5.013563,12.366755,8.45216,-8.026846,-3.9135027,4.3587084,-8.501785,-18.62323,7.6476164,-9.015609,7.2499814,0.5999133,-1.5605323,9.249845,-2.0095475,19.860558,-37.136414,53.611217,9.846758,4.379646,3.2080617,-6.5005527,-17.74777,44.31678,53.82525,-21.31873,-5.618982,2.2855427
2,0.2272423356771469,2.306321144104004,78.76716613769531,0.7683739072251077,-1.8198267518895008,-92.24232328075477,2.688049,4.986094,12.339263,8.459018,-8.001969,-3.8884223,4.329464,-8.535597,-18.650011,7.6752768,-8.9756565,7.249116,0.5479731,-1.6064085,9.310049,-2.0593295,19.87863,-37.127857,53.612225,9.860977,4.4002295,3.2241414,-6.4597144,-17.768187,44.16036,53.5694,-21.339907,-5.7559648,2.076678
3,0.2466261386871338,2.336102247238159,78.77312469482422,0.7801028254321037,-1.8199394647998128,-92.20934515270947,2.651736,4.952055,12.31459,8.466292,-7.972156,-3.8573256,4.294556,-8.577229,-18.675179,7.714463,-8.934323,7.253436,0.5017656,-1.6586108,9.378869,-2.1193955,19.897625,-37.126827,53.60699,9.879982,4.423929,3.2356563,-6.4047775,-17.796951,43.978355,53.278866,-21.360052,-5.886408,1.8658174
4,0.2712000012397766,2.375913619995117,78.77840423583984,0.7996794041055318,-1.8255234976386008,-92.17633448772624,2.6132271,4.9041095,12.296488,8.4770155,-7.9312253,-3.8112125,4.256832,-8.632292,-18.698387,7.7568054,-8.875795,7.2704773,0.43442592,-1.7228699,9.463266,-2.1794896,19.911888,-37.10399,53.58142,9.921332,4.454367,3.2358952,-6.345268,-17.827599,43.785,52.933582,-21.361713,-5.9978976,1.6443133
5,0.2994149625301361,2.4192285537719727,78.78484344482422,0.8308262119416511,-1.841830098933962,-92.14258839624814,2.5771437,4.836548,12.287255,8.492058,-7.8770614,-3.7439966,4.217602,-8.707358,-18.717323,7.8113265,-8.805967,7.3049784,0.35140395,-1.8052641,9.570381,-2.2463512,19.922606,-37.058235,53.538532,9.980418,4.494175,3.2103062,-6.2829394,-17.861914,43.57792,52.525845,-21.355553,-6.084679,1.3950427
6,0.32481181621551514,2.465794324874878,78.79415130615234,0.8704881475508223,-1.8656154780095453,-92.10827186117197,2.5417557,4.7561827,12.284138,8.51286,-7.815086,-3.6615546,4.1768613,-8.79617,-18.73384,7.8751616,-8.728146,7.3517103,0.27169654,-1.8983473,9.700704,-2.3259876,19.935295,-37.00815,53.47708,10.0521,4.540903,3.1655858,-6.194741,-17.922327,43.335484,52.03698,-21.349274,-6.1545863,1.1315163
7,0.3556760847568512,2.520719528198242,78.80191040039062,0.9277963562983299,-1.8826744204084642,-92.0803398398898,2.5043988,4.650117,12.293095,8.511883,-7.7328014,-3.5711694,3.9337137,-8.973684,-18.714302,8.352774,-8.84735,7.407255,0.17023893,-2.0139918,9.829659,-2.3972726,19.943542,-36.93862,53.393684,10.150022,4.5904226,3.128978,-6.1041174,-17.979546,43.08752,51.51109,-21.309586,-6.2145724,0.8811908
8,0.39546769857406616,2.582365036010742,78.80778503417969,1.0068309152835553,-1.884062087837013,-92.06029433698245,2.4609463,4.514596,12.313164,8.477227,-7.6264896,-3.4816823,3.496652,-9.236677,-18.660954,9.200428,-9.1338215,7.464825,0.07533092,-2.1532886,9.9599,-2.4742687,19.9549,-36.88984,53.273586,10.280416,4.6404104,3.1250641,-5.9570394,-18.074244,42.771496,50.883915,-21.22572,-6.274956,0.6869793
9,0.43496546149253845,2.646021842956543,78.81334686279297,1.097971028340161,-1.8719944919742104,-92.04555710547156,2.4077299,4.360537,12.338647,8.419934,-7.4990587,-3.396649,3.023822,-9.51996,-18.604933,10.073983,-9.404958,7.518884,-0.04275244,-2.3106816,10.083012,-2.5373163,19.962593,-36.822998,53.116047,10.473259,4.6978354,3.1627686,-5.793404,-18.16075,42.411846,50.205204,-21.091528,-6.3308053,0.55941933
