Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.6780959367752075,2.6320290565490723,78.64506530761719,-0.267305799741214,-1.9029640511962425,-91.06880802503063,3.5484662,7.698611,16.313473,6.889483,-7.707275,-7.5343957,1.9486994,-5.284774,-5.9708023,8.907242,-8.086523,5.413772,-2.9945884,-0.7145831,9.160628,-0.3235387,21.375507,-34.753723,51.407917,20.588106,-1.982786,-1.6554083,-4.6585493,-17.899136,41.552204,54.350784,-10.608409,3.8234792,-2.9465485
1,0.6985118985176086,2.6388726234436035,78.64811706542969,-0.26067396696356204,-1.8759821336822886,-91.04017559608637,3.5002992,7.662315,16.27899,6.88993,-7.6960144,-7.493291,1.9130211,-5.321097,-5.989915,8.916587,-8.071517,5.4274817,-2.9732082,-0.74970853,9.189114,-0.29698634,21.418665,-34.72764,51.308807,20.588936,-1.9527497,-1.6384739,-4.6662145,-17.930952,41.53133,54.308952,-10.549248,3.7997878,-2.9120004
2,0.7193570733070374,2.645507335662842,78.6513442993164,-0.25487637830715454,-1.8498178603045474,-91.01024035173756,3.4535222,7.625947,16.242584,6.8897815,-7.6847715,-7.4527893,1.8789068,-5.357223,-6.0104,8.926652,-8.057077,5.440182,-2.9538226,-0.7816088,9.20879,-0.2943411,21.4361,-34.717827,51.259647,20.596579,-1.9214777,-1.610194,-4.683657,-17.948214,41.514256,54.296246,-10.489602,3.773577,-2.8793414
3,0.7453209757804871,2.65173077583313,78.65476989746094,-0.2489650775414601,-1.8220255016525733,-90.9828679989737,3.4041958,7.590277,16.20952,6.891431,-7.674289,-7.411245,1.8436253,-5.392598,-6.0286183,8.9319935,-8.040238,5.4550624,-2.927903,-0.81108963,9.225315,-0.29295033,21.444378,-34.692097,51.205345,20.596743,-1.8937509,-1.5938555,-4.7052274,-17.961355,41.494904,54.292427,-10.432566,3.7506201,-2.8479981
4,0.7782490849494934,2.661858558654785,78.65642547607422,-0.24499424056098537,-1.7900408137250645,-90.96176532899771,3.3512232,7.5559697,16.185524,6.8914967,-7.662346,-7.366894,1.8017339,-5.426046,-6.040691,8.931979,-8.020169,5.4752684,-2.885864,-0.83540773,9.239534,-0.2803973,21.447643,-34.621082,51.111164,20.576893,-1.8737475,-1.6097586,-4.7246714,-17.973656,41.46688,54.285477,-10.382147,3.737207,-2.8190334
5,0.8120730519294739,2.675647020339966,78.65833282470703,-0.244061693861514,-1.7554383470787491,-90.94746410193022,3.2956402,7.524178,16.173342,6.8943353,-7.654355,-7.31591,1.7580082,-5.4565654,-6.0466275,8.921507,-7.998252,5.5040984,-2.841694,-0.85259265,9.260811,-0.23634739,21.448633,-34.466198,50.954586,20.570665,-1.8689898,-1.6788013,-4.7513704,-17.99291,41.44105,54.272358,-10.327736,3.7356694,-2.7906282
6,0.8488326072692871,2.689056158065796,78.6578369140625,-0.24989616621768268,-1.7173014320601576,-90.9366185844428,3.130858,7.529304,16.153648,7.129588,-7.7703924,-7.261856,1.7140462,-5.4807367,-6.0505037,8.897045,-7.9710965,5.538695,-2.808907,-0.8586449,9.283713,-0.15823697,21.447994,-34.23865,50.746136,20.572891,-1.8746377,-1.7849985,-4.7887373,-18.023067,41.435894,54.25604,-10.261747,3.7433329,-2.7645228
7,0.8818591237068176,2.7030246257781982,78.65544891357422,-0.2689855143238173,-1.6720933215877454,-90.92798522143127,2.8348413,7.5841784,16.11711,7.630516,-8.021498,-7.212618,1.6639487,-5.490576,-6.0544977,8.86151,-7.933396,5.5731244,-2.7606044,-0.8495423,9.301865,-0.078641795,21.444588,-33.98844,50.505703,20.52775,-1.8798581,-1.8994691,-4.8222113,-18.049875,41.41441,54.233,-10.222292,3.756773,-2.738149
8,0.9216533899307251,2.722804069519043,78.65071105957031,-0.30008039715282114,-1.6178998705402723,-90.92233502141433,2.5069122,7.6551,16.073603,8.170439,-8.282407,-7.1742477,1.6029518,-5.4886827,-6.0571322,8.818503,-7.8803105,5.602199,-2.7342868,-0.82391024,9.323613,0.036646597,21.43915,-33.65935,50.194557,20.41649,-1.8768086,-2.0024517,-4.872491,-18.091255,41.41016,54.18615,-10.232071,3.7762973,-2.7061338
9,0.9655800461769104,2.7444980144500732,78.64600372314453,-0.3432625806200297,-1.5510272389119653,-90.91952334265753,2.1330862,7.7456355,16.020948,8.768967,-8.561927,-7.1490636,1.5242941,-5.473845,-6.0598636,8.77239,-7.8104696,5.6215982,-2.7003198,-0.78343153,9.340554,0.16165157,21.430952,-33.29684,49.839096,20.189478,-1.8576626,-2.078964,-4.928291,-18.135633,41.40182,54.142723,-10.2714405,3.7957025,-2.675582
10,1.012319803237915,2.7715423107147217,78.63914489746094,-0.3921051477476719,-1.474251225300125,-90.92065409866868,1.7230707,7.848289,15.96371,9.415541,-8.859996,-7.1330447,1.4312993,-5.4524355,-6.0603776,8.72386,-7.728561,5.6355076,-2.6523037,-0.7358787,9.35243,0.29227242,21.420412,-32.906128,49.44534,19.874584,-1.8280847,-2.1430957,-4.9891686,-18.173447,41.38108,54.107983,-10.339532,3.8167133,-2.6464074
