Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.7047246098518372,2.6319637298583984,78.64020538330078,0.37284962675039396,-1.9057723318480404,-88.9122662132978,2.1163366,5.1596885,5.9820495,8.544526,-7.8893147,-5.4136457,3.383964,-7.8579717,-16.296574,7.270543,-7.913952,7.537385,-0.059148706,0.05468747,9.208006,-2.0011508,20.032322,-38.243702,52.988453,10.284673,3.8223755,3.216615,-3.1131968,-19.505985,38.125114,52.623394,-20.81478,-1.9602145,2.1159294
1,-0.7257364988327026,2.6388392448425293,78.64281463623047,0.3692065728968385,-1.8786508461857745,-88.94134749005927,2.0815513,5.19291,6.0022664,8.552193,-7.8735557,-5.427282,3.3340547,-7.825006,-16.261068,7.2742724,-7.904412,7.4963756,-0.08065281,0.08156241,9.220708,-2.0234306,20.040545,-38.231113,52.994457,10.224164,3.7982142,3.1859877,-3.1169765,-19.510939,38.113106,52.587303,-20.817127,-1.9303268,2.090901
2,-0.7472368478775024,2.6455345153808594,78.64550018310547,0.36680067685341744,-1.8525470043726462,-88.97187339035399,2.0495646,5.2254567,6.024177,8.558309,-7.8571596,-5.4399223,3.284224,-7.792752,-16.223269,7.280159,-7.8961463,7.4559803,-0.097693846,0.106637254,9.240481,-2.0474265,20.051323,-38.213802,52.994987,10.167686,3.771641,3.15137,-3.1212423,-19.514803,38.10091,52.55128,-20.83033,-1.8992087,2.0618205
3,-0.7740441560745239,2.651785135269165,78.64823913574219,0.3650837811547639,-1.8247192804953913,-88.99984071927696,2.0148404,5.256571,6.04382,8.562552,-7.8396907,-5.4546957,3.23235,-7.761913,-16.188805,7.2862945,-7.887685,7.4145885,-0.12394514,0.13074966,9.253533,-2.0680044,20.058414,-38.196808,52.998623,10.110024,3.7501488,3.1209385,-3.1245077,-19.51545,38.08104,52.507797,-20.83001,-1.8698566,2.042803
4,-0.8076949715614319,2.661975383758545,78.64927673339844,0.36486298470236067,-1.7929574962395212,-89.02173844024918,1.9752846,5.286126,6.0575843,8.55882,-7.81788,-5.4748116,3.175856,-7.7323294,-16.163054,7.2941985,-7.87987,7.3704143,-0.16094637,0.14835455,9.273302,-2.0879993,20.074358,-38.165215,52.987736,10.06635,3.7373247,3.0877645,-3.1143558,-19.51422,37.997463,52.41415,-20.821249,-1.8506476,2.05994
5,-0.8415223956108093,2.6757733821868896,78.65116882324219,0.3640084505918395,-1.7582298325635572,-89.03613969411698,1.9317211,5.316549,6.063825,8.547464,-7.795378,-5.5036464,3.120456,-7.700393,-16.150803,7.29665,-7.871847,7.3193874,-0.20587443,0.1625228,9.291865,-2.1106646,20.095749,-38.13982,52.97627,10.010831,3.7361436,3.0586715,-3.0821614,-19.510803,37.846745,52.272053,-20.81488,-1.8457414,2.1262503
6,-0.8782866597175598,2.6892452239990234,78.65038299560547,0.37209327669487585,-1.719140538074057,-89.04786984340149,1.8884351,5.338017,6.0692964,8.519924,-7.7666736,-5.5377846,2.9240394,-7.7169566,-16.125353,7.5976415,-8.022034,7.265984,-0.23931079,0.16288212,9.311392,-2.1423125,20.13062,-38.133503,52.95814,9.944077,3.744295,3.030998,-3.0230112,-19.505938,37.62477,52.083557,-20.816782,-1.8521864,2.2299492
7,-0.9113172888755798,2.7032716274261475,78.64752197265625,0.3947759400736865,-1.6728114504039269,-89.05762940973526,1.8400326,5.3435717,6.075438,8.478909,-7.7262163,-5.5715566,2.6072865,-7.781401,-16.083633,8.140005,-8.29447,7.21758,-0.2887173,0.1478202,9.325134,-2.1703324,20.159834,-38.108795,52.93527,9.905835,3.7581577,3.0036206,-2.9599597,-19.501198,37.380245,51.85855,-20.772394,-1.8571441,2.340883
8,-0.9510596394538879,2.723116159439087,78.64230346679688,0.42933622950420164,-1.6176459462101471,-89.06431364902272,1.7807142,5.3374248,6.080073,8.430388,-7.670227,-5.5998683,2.262707,-7.860512,-16.035374,8.712919,-8.570961,7.1798806,-0.32932234,0.11805393,9.338685,-2.2107506,20.194853,-38.087353,52.895885,9.920051,3.777036,2.9723573,-2.8771315,-19.496305,37.077785,51.576347,-20.656368,-1.8529668,2.4365597
9,-0.9950076341629028,2.744845390319824,78.63703918457031,0.4759373228226921,-1.550014632265948,-89.06800553863137,1.7043747,5.3184443,6.0847254,8.378233,-7.5973473,-5.618653,1.885489,-7.955253,-15.979671,9.3159895,-8.854177,7.155384,-0.3551246,0.07074614,9.350755,-2.2669265,20.244232,-38.085724,52.85442,9.958683,3.7968524,2.9424644,-2.7658894,-19.491234,36.707485,51.23363,-20.43713,-1.8344092,2.5061605
