Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.1522015631198883,3.0880284309387207,77.86070251464844,0.3460785688022424,-9.68745727313955,-88.9229229297534,16.62348,7.4095674,19.645132,7.409951,-13.059443,-7.293115,12.303454,-5.675666,1.562729,10.316211,-12.938482,7.438259,-3.5292408,0.5571425,13.770717,6.45051,11.196536,-19.849293,60.30295,5.399821,0.4677095,6.486153,2.758032,-10.169998,21.513632,65.024475,-5.1582875,-3.5073693,-15.187545
1,-0.15531359612941742,3.1023313999176025,77.86286163330078,0.34767944245970855,-9.64085951620593,-88.92062274283127,16.558388,7.4083743,19.644012,7.40774,-13.054979,-7.271324,12.248924,-5.676096,1.563302,10.297235,-12.93643,7.4435134,-3.501636,0.54855925,13.788148,6.4420977,11.202471,-19.853834,60.248646,5.4091573,0.45797434,6.4983273,2.7507324,-10.170788,21.523693,65.00411,-5.2010756,-3.501654,-15.195436
2,-0.1618107259273529,3.114820957183838,77.86534118652344,0.3497391625000241,-9.582750725917077,-88.91957932268733,16.472954,7.4092703,19.643879,7.422743,-13.058143,-7.2488894,12.176094,-5.677069,1.5662861,10.288234,-12.937437,7.4500833,-3.481223,0.5368842,13.810153,6.4411945,11.215047,-19.857916,60.16533,5.3986883,0.45520163,6.516965,2.7279522,-10.171823,21.556906,64.97782,-5.227583,-3.4920728,-15.214225
3,-0.1594620794057846,3.1307311058044434,77.87100982666016,0.35171396686115186,-9.52989971617803,-88.91608130060261,16.396908,7.4088354,19.640247,7.427839,-13.056333,-7.227155,12.113896,-5.677916,1.5655882,10.270713,-12.935549,7.453853,-3.462215,0.5275029,13.830456,6.438543,11.224,-19.86132,60.094124,5.4087653,0.44794118,6.5325584,2.7105644,-10.172267,21.580078,64.95512,-5.263342,-3.4827573,-15.225315
4,-0.16116970777511597,3.1465916633605957,77.87659454345703,0.35245980188509163,-9.474098335743339,-88.90622585078538,16.31168,7.4105988,19.626394,7.438797,-13.055964,-7.206319,12.045869,-5.6777477,1.5578283,10.260651,-12.939505,7.4507565,-3.463961,0.51452965,13.853152,6.456571,11.246527,-19.865955,59.995525,5.4411125,0.43733242,6.5449724,2.6803892,-10.1728735,21.6245,64.935715,-5.2910066,-3.4688485,-15.2283945
5,-0.16494408249855042,3.167241334915161,77.87850189208984,0.34918974996737984,-9.419506152427083,-88.88921373750085,16.223503,7.415285,19.5984,7.4518776,-13.056256,-7.18693,11.977684,-5.6747174,1.5412165,10.256865,-12.949667,7.4349585,-3.4742336,0.50523686,13.884673,6.4720573,11.273177,-19.882214,59.88906,5.517084,0.42640758,6.554804,2.6498241,-10.17301,21.655207,64.90897,-5.3324213,-3.444902,-15.2169075
6,-0.1714400202035904,3.1784801483154297,77.88465881347656,0.34465636001287353,-9.365782313189515,-88.86693343785615,16.132719,7.4226685,19.559942,7.466204,-13.056246,-7.1687427,11.914131,-5.669403,1.5173562,10.247717,-12.959343,7.410118,-3.490015,0.49419814,13.925375,6.5053415,11.318627,-19.913704,59.747772,5.6148615,0.41808966,6.560929,2.6208076,-10.172971,21.67997,64.87121,-5.3787584,-3.4137006,-15.195304
7,-0.17606163024902344,3.1942296028137207,77.88922882080078,0.34122966385905973,-9.30509018782634,-88.84067790558737,16.033709,7.426745,19.51845,7.4777727,-13.052568,-7.1502132,11.839683,-5.667063,1.4898406,10.245614,-12.972784,7.386829,-3.5004911,0.47935635,13.965461,6.5412607,11.378485,-19.95515,59.596676,5.7215223,0.40042493,6.5632215,2.5949395,-10.172869,21.697502,64.82326,-5.425579,-3.3859427,-15.167387
8,-0.17806358635425568,3.2099387645721436,77.89583587646484,0.34160865210880315,-9.230905099890206,-88.81122234068302,15.92033,7.424254,19.480255,7.484451,-13.041821,-7.130241,11.75633,-5.6713347,1.4596275,10.230457,-12.978234,7.3752875,-3.5052874,0.46217972,13.995177,6.5760655,11.438168,-19.996523,59.451344,5.822926,0.36382866,6.564921,2.56783,-10.174815,21.718548,64.77219,-5.4634295,-3.371243,-15.14004
9,-0.17648296058177948,3.2298874855041504,77.90372467041016,0.34786170510056413,-9.144371828460155,-88.77549147716226,15.795902,7.411735,19.447124,7.4814577,-13.02058,-7.1132812,11.664517,-5.686077,1.424611,10.206044,-12.979035,7.3819385,-3.5069854,0.44066355,14.012975,6.60601,11.4910755,-20.035471,59.327,5.9139194,0.29640132,6.565893,2.5384731,-10.180204,21.747108,64.72362,-5.482572,-3.37377,-15.110129
