Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.19783256947994232,2.198320150375366,78.51324462890625,-0.7062595892197113,-0.6618142575559819,-90.91017204547958,0.5631221,11.270566,12.292989,7.472685,-5.0984993,-11.022315,1.9795313,-7.7455025,-15.166772,7.1695952,-6.727007,7.694628,-3.2765217,1.742535,10.219813,-8.588068,17.475292,-51.22958,55.287994,3.7777078,8.940817,4.8475404,-6.1049576,-18.77454,47.345013,53.48489,-3.3937335,7.1323476,-2.4889126
1,0.20271238684654236,2.2053842544555664,78.51325988769531,-0.728313531324765,-0.6698418434794668,-90.96820163046617,0.6172496,11.301508,12.348329,7.4129004,-5.093584,-11.107821,1.9745717,-7.70882,-15.117175,7.15053,-6.707066,7.6828876,-3.243229,1.8137946,10.24393,-8.6405325,17.48853,-51.43267,55.162304,3.932984,8.994974,4.8328676,-6.0952654,-18.81882,47.145256,53.14536,-3.521238,7.3146815,-2.2508557
2,0.2065933793783188,2.2118868827819824,78.51121520996094,-0.7502498983692812,-0.6777424415081752,-91.02721550853002,0.67116666,11.332184,12.404712,7.3555474,-5.0926957,-11.187449,1.9698521,-7.6720533,-15.066268,7.131628,-6.6884127,7.6721606,-3.1915188,1.8830171,10.26801,-8.70392,17.50327,-51.660824,55.050644,4.0771317,9.058645,4.8182416,-6.0737324,-18.868113,46.927425,52.819805,-3.6705418,7.4804144,-2.0224688
3,0.2093200981616974,2.2172465324401855,78.50879669189453,-0.7703845679394435,-0.685887857028401,-91.08420235054312,0.72625625,11.363144,12.459207,7.291519,-5.0831017,-11.278605,1.9645852,-7.635397,-15.018381,7.112849,-6.667617,7.6593275,-3.1317492,1.9544293,10.293528,-8.771061,17.521261,-51.899284,54.914112,4.2238264,9.104627,4.8052616,-6.0412297,-18.924685,46.683002,52.436775,-3.795459,7.67581,-1.767921
4,0.2097904235124588,2.225799798965454,78.50656127929688,-0.7917094699613969,-0.6947904355394501,-91.13625270042752,0.78482985,11.394097,12.508888,7.210094,-5.0518746,-11.398507,1.9577007,-7.599553,-14.977938,7.0957036,-6.642585,7.641502,-3.058115,2.030301,10.322556,-8.85034,17.549421,-52.164196,54.717613,4.3680267,9.105926,4.796664,-5.992009,-18.995422,46.38448,51.920815,-3.853386,7.9464903,-1.4495897
5,0.20984365046024323,2.240100383758545,78.50540161132812,-0.8146582428879273,-0.7043291307823094,-91.19269093670923,0.85481757,11.425873,12.564031,7.1013575,-4.9947248,-11.55578,1.9486964,-7.562208,-14.936889,7.074997,-6.6121793,7.6199217,-2.973479,2.1125243,10.354034,-8.94053,17.590647,-52.46628,54.458218,4.5089846,9.048051,4.7885747,-5.931518,-19.072027,46.010536,51.26443,-3.8656363,8.328294,-1.0404449
6,0.21196261048316956,2.2541868686676025,78.50657653808594,-0.8362758643476889,-0.7143141778010255,-91.25160875916166,0.9308022,11.459688,12.621821,6.9758945,-4.920423,-11.740052,1.9379574,-7.522658,-14.896149,7.0517993,-6.577546,7.5960546,-2.8751256,2.1992865,10.38839,-9.0390415,17.64664,-52.801918,54.147472,4.6455846,8.948485,4.781134,-5.856417,-19.155518,45.57377,50.498142,-3.8478813,8.790139,-0.56561226
7,0.2071383148431778,2.2740726470947266,78.50916290283203,-0.859622223082958,-0.7249762598659735,-91.29321065503505,1.0029523,11.493957,12.661754,6.8407373,-4.8300214,-11.939624,1.9296207,-7.481365,-14.874602,7.0296783,-6.5365167,7.5668206,-2.7779553,2.2878146,10.425823,-9.134477,17.717878,-53.12658,53.77168,4.786332,8.826977,4.7815833,-5.778337,-19.248524,45.137234,49.63862,-3.7395575,9.276974,-0.07067638
8,0.19902993738651276,2.3010377883911133,78.51667022705078,-0.8880216474953194,-0.7366698535103233,-91.29766275844959,1.0579159,11.528017,12.66283,6.709231,-4.7268496,-12.143165,1.9292128,-7.4396296,-14.891034,7.0103617,-6.4860606,7.528929,-2.6997044,2.3752933,10.467062,-9.208287,17.80458,-53.384995,53.313496,4.949134,8.703389,4.796733,-5.7052827,-19.353422,44.763493,48.699024,-3.481499,9.734963,0.3976753
9,0.187169149518013,2.3333873748779297,78.52597045898438,-0.9192771341743492,-0.7457840715913855,-91.2672805209068,1.036913,11.574462,12.613809,6.697187,-4.6693034,-12.351776,1.9296694,-7.3966665,-14.9423,6.9941754,-6.4201775,7.4806123,-2.6422694,2.4609928,10.510633,-9.260111,17.908691,-53.571636,52.75604,5.1731553,8.595918,4.82155,-5.642007,-19.471554,44.459015,47.66556,-2.9848783,10.198331,0.84919184
10,0.1753343790769577,2.3687262535095215,78.53475189208984,-0.9530296791144688,-0.753324363569529,-91.21015473787021,1.0011715,11.6204,12.5350685,6.684055,-4.5961456,-12.570236,1.9298935,-7.353166,-15.020627,6.9830027,-6.344093,7.423998,-2.6009493,2.545507,10.557236,-9.297069,18.032728,-53.710236,52.10962,5.4354205,8.489764,4.8543606,-5.5819173,-19.603235,44.19591,46.533257,-2.3067486,10.684169,1.297684
11,0.1593773066997528,2.4015891551971436,78.54423522949219,-0.9881107406530685,-0.7668738790210723,-91.11537101993876,0.95657444,11.665167,12.419854,6.670885,-4.5109825,-12.792902,1.945649,-7.31056,-15.138554,6.9741135,-6.2658668,7.3608785,-2.58268,2.6300912,10.610345,-9.30448,18.176424,-53.780457,51.39271,5.672374,8.35631,4.907313,-5.5255804,-19.749783,43.994087,45.336285,-1.5926338,11.110569,1.7050031
12,0.13617895543575287,2.436094284057617,78.5530776977539,-1.0258544544370856,-0.7941356771971416,-90.97199285129902,0.9097339,11.706813,12.261716,6.657691,-4.4177303,-13.014359,1.9918469,-7.2711005,-15.308079,6.9669995,-6.1950364,7.2929454,-2.598493,2.7162697,10.673509,-9.275117,18.339062,-53.76684,50.630142,5.809352,8.16564,4.9922056,-5.469103,-19.911354,43.87286,44.105206,-0.9937978,11.393021,2.0362847
13,0.10789777338504791,2.472181797027588,78.56072235107422,-1.064878192351568,-0.8394311863130772,-90.77767119231353,0.86609703,11.746751,12.060362,6.6450896,-4.319495,-13.238023,2.0704963,-7.2357006,-15.534412,6.973176,-6.1363683,7.213942,-2.654773,2.8028867,10.746494,-9.19479,18.521595,-53.64351,49.81198,5.821077,7.885267,5.111891,-5.415528,-20.089352,43.864155,42.8377,-0.5189374,11.488569,2.2799199
14,0.07553522288799286,2.507556438446045,78.56851196289062,-1.1105692544895374,-0.8978761583571774,-90.53781491219856,0.8216511,11.786715,11.8184805,6.631761,-4.213519,-13.465403,2.176091,-7.200608,-15.810705,6.9848557,-6.0817657,7.124988,-2.7485917,2.89133,10.828411,-9.072814,18.72588,-53.423584,48.92963,5.746227,7.5389576,5.2590637,-5.3646307,-20.284294,43.95185,41.519566,-0.097433925,11.44691,2.458242
15,0.03839525207877159,2.5484251976013184,78.57557678222656,-1.15606262168191,-0.9633351168873286,-90.25365130024768,0.7673508,11.821945,11.534338,6.6179,-4.09637,-13.68824,2.304873,-7.1664295,-16.130522,6.990116,-6.0311193,7.0385146,-2.8709428,2.9831696,10.921562,-8.923656,18.949139,-53.139843,48.002125,5.6255803,7.182371,5.430696,-5.312761,-20.493189,44.0842,40.167515,0.24869414,11.319886,2.5888462
16,-0.005929487757384777,2.5878822803497314,78.58323669433594,-1.1998342044852017,-1.029706961071447,-89.92653710408459,0.69370323,11.847089,11.206389,6.605113,-3.9651659,-13.898372,2.4463902,-7.13709,-16.485682,6.9902215,-5.990818,6.967313,-3.0104017,3.078485,11.027033,-8.768767,19.184769,-52.83238,47.0572,5.494135,6.870821,5.624911,-5.2614307,-20.711868,44.209587,38.805096,0.49936438,11.159066,2.6885395
17,-0.051795877516269684,2.6351523399353027,78.59046173095703,-1.2376251186167806,-1.1017040264941378,-89.54685775096706,0.6042577,11.856822,10.825643,6.5915174,-3.8171017,-14.09485,2.5340383,-7.1411543,-16.874926,7.151947,-6.050917,6.917126,-3.1697822,3.1728497,11.148214,-8.609715,19.42624,-52.503063,46.094074,5.367526,6.616086,5.8360476,-5.201284,-20.93842,44.31847,37.41733,0.6291094,10.948525,2.754301
18,-0.10298201441764832,2.6890103816986084,78.59901428222656,-1.2789397142211736,-1.1820215685337336,-89.11542941250003,0.5033059,11.860656,10.393061,6.5769587,-3.6539922,-14.282555,2.710615,-7.1268816,-17.319044,7.1689057,-6.0467534,6.878818,-3.3516386,3.273062,11.284262,-8.44395,19.669926,-52.139767,45.112415,5.221863,6.38908,6.0677567,-5.135422,-21.172695,44.43421,36.002537,0.6561622,10.669214,2.779629
19,-0.1614079773426056,2.7439849376678467,78.60797119140625,-1.3184911459364828,-1.256369457357521,-88.65492474042294,0.38087052,11.857322,9.931188,6.563353,-3.480243,-14.460765,2.9254656,-7.1027694,-17.791683,7.0992785,-6.006802,6.8475146,-3.5384808,3.378478,11.42339,-8.28026,19.911938,-51.755432,44.138023,5.040481,6.1836658,6.3319507,-5.072657,-21.411873,44.547077,34.597816,0.61296004,10.368824,2.775475
20,-0.22495223581790924,2.7999508380889893,78.6197509765625,-1.353532874300738,-1.310583334127457,-88.18809487409207,0.22848478,11.846173,9.46266,6.549248,-3.298016,-14.629071,3.1431344,-7.072077,-18.268684,6.967153,-5.941082,6.8179803,-3.7103105,3.4895105,11.553798,-8.125724,20.147268,-51.3637,43.196964,4.810091,5.9935617,6.64077,-5.025676,-21.651232,44.64688,33.243942,0.5361756,10.094255,2.7530656
21,-0.2896016240119934,2.863445281982422,78.6324462890625,-1.3809620402712195,-1.3415755618307477,-87.71381679687691,0.04311898,11.8260975,8.988136,6.5342746,-3.1084082,-14.788641,3.3617795,-7.0362515,-18.750738,6.7706833,-5.8486657,6.792293,-3.8674655,3.6050112,11.667755,-7.9807878,20.371828,-50.972954,42.28986,4.502868,5.818322,7.029227,-4.9918804,-21.88642,44.735226,31.938574,0.42339092,9.85523,2.7044497
22,-0.3616432547569275,2.92936372756958,78.64331817626953,-1.3963769458472226,-1.355454295858434,-87.22422367455344,-0.171044,11.792819,8.500162,6.5185313,-2.9094462,-14.939947,3.4774578,-7.0398345,-19.231068,6.763172,-5.8638864,6.7739687,-4.0154486,3.719999,11.769479,-7.845092,20.582756,-50.576817,41.41388,4.134504,5.658814,7.480598,-4.9723606,-22.115795,44.817116,30.674095,0.259852,9.626978,2.6267636
23,-0.43499985337257385,3.0016398429870605,78.65234375,-1.4006017374873376,-1.3529630012327738,-86.7209077898651,-0.41508132,11.732558,7.9978743,6.501644,-2.69816,-15.000033,3.5713413,-7.0597186,-19.71875,6.760832,-5.888491,6.7597766,-4.1539536,3.8354235,11.866911,-7.7241726,20.776245,-50.167072,40.58824,3.7556527,5.5116067,7.929273,-4.970164,-22.336998,44.880814,29.471445,0.053832687,9.405728,2.5389106
24,-0.5131377577781677,3.0793886184692383,78.66229248046875,-1.4018651648032943,-1.3389471062496119,-86.21796158906729,-0.6797995,11.65988,7.4914303,6.483656,-2.473927,-15.000033,3.643799,-7.0827117,-20.202131,6.760023,-5.9195395,6.7418942,-4.2697597,3.960175,11.971622,-7.6268435,20.948118,-49.73788,39.83593,3.414783,5.3743935,8.309665,-4.989809,-22.547235,44.914314,28.355616,-0.18653138,9.186172,2.4597495
25,-0.5925865173339844,3.167217969894409,78.66590881347656,-1.4045727182330694,-1.307472703810937,-85.71890922324708,-0.9701365,11.588622,6.983735,6.4662566,-2.241458,-15.000033,3.6890252,-7.0998526,-20.678265,6.7599044,-5.9624534,6.7173457,-4.3561335,4.0962996,12.074277,-7.557772,21.094841,-49.29138,39.170547,3.1241615,5.241987,8.606643,-5.0292835,-22.743307,44.91071,27.320503,-0.48288628,8.980435,2.4151988
26,-0.6726282835006714,3.2614495754241943,78.66600036621094,-1.3980433549647102,-1.2598010913983149,-85.22019908657742,-1.2852159,11.507503,6.4743176,6.44946,-2.0000668,-15.000033,3.710924,-7.122794,-21.149626,6.758954,-6.0149913,6.689814,-4.416715,4.2335467,12.172405,-7.516266,21.213964,-48.832645,38.585648,2.8565497,5.117602,8.854849,-5.0882854,-22.923027,44.876972,26.361774,-0.8327079,8.786295,2.3876958
27,-0.7553033828735352,3.3633880615234375,78.6629638671875,-1.3890585648601494,-1.2109728244605242,-84.72248852887986,-1.6107275,11.421904,5.9609675,6.434443,-1.7431023,-15.000033,3.7219162,-7.1467004,-21.617104,6.7594733,-6.0681834,6.660406,-4.456665,4.383681,12.287968,-7.4969177,21.302923,-48.356266,38.071247,2.6081114,5.0128365,9.063901,-5.1814537,-23.086996,44.82708,25.510387,-1.1853753,8.578969,2.33119
28,-0.8345162272453308,3.4718170166015625,78.6595687866211,-1.3828385104982914,-1.1766149771461267,-84.2273405864767,-1.9433657,11.337126,5.4402084,6.448843,-1.4788429,-15.000033,3.737924,-7.1683226,-22.080896,6.759012,-6.1108017,6.6304235,-4.4811726,4.557316,12.4444065,-7.4986396,21.359663,-47.85933,37.618565,2.3701556,4.9387217,9.243333,-5.3222094,-23.236567,44.77504,24.794565,-1.4894962,8.33348,2.1992166
29,-0.9135206937789917,3.6023635864257812,78.6530532836914,-1.3864053970506172,-1.1601027044494923,-83.73189008843512,-2.2933295,11.260977,4.9071,6.520314,-1.2319537,-15.000033,3.7629166,-7.182052,-22.543089,6.757045,-6.1443796,6.6026425,-4.4909925,4.761122,12.648802,-7.5267324,21.38169,-47.33676,37.229656,2.122375,4.895791,9.381671,-5.509706,-23.371597,44.71805,24.216837,-1.747201,8.02727,1.9789027
30,-0.9925566911697388,3.734370231628418,78.64683532714844,-1.3932394797682883,-1.1522689930228245,-83.23546325495977,-2.644787,11.184749,4.3671436,6.5949836,-0.97181505,-15.000033,3.7875092,-7.192059,-23.00369,6.75562,-6.1743183,6.574884,-4.485044,4.9877734,12.886845,-7.58131,21.367155,-46.791336,36.910877,1.8763509,4.8791137,9.478639,-5.739193,-23.491468,44.6517,23.765402,-1.9812826,7.679003,1.6949522
31,-1.072576642036438,3.875793218612671,78.64043426513672,-1.4017118607593837,-1.1514475382233624,-82.7443622606859,-3.2147887,11.116531,3.781345,7.1237383,-0.9165222,-15.000033,3.8092198,-7.202102,-23.459326,6.7542586,-6.1924677,6.5427604,-4.4652424,5.2356887,13.152435,-7.6540437,21.31637,-46.232494,36.66042,1.6705699,4.8916717,9.560948,-6.015072,-23.597828,44.587597,23.440062,-2.1733284,7.3301415,1.3580085
32,-1.154514193534851,4.029179573059082,78.63517761230469,-1.4115936342974185,-1.1557741670552493,-82.26489317306127,-4.008961,11.046156,3.1526976,8.116213,-1.0463428,-15.000033,3.8249817,-7.2159767,-23.906393,6.7532063,-6.1909957,6.501426,-4.4338493,5.503159,13.439763,-7.7387266,21.231796,-45.67044,36.476963,1.5406113,4.9360547,9.655135,-6.349115,-23.694874,44.54105,23.245077,-2.2990205,7.021445,0.97917354
33,-1.2348108291625977,4.190856456756592,78.6314468383789,-1.4273126537181573,-1.1652568151067126,-81.7921223238814,-4.864581,10.967447,2.5111332,9.225556,-1.1823964,-15.000033,3.8342128,-7.2275634,-24.352015,6.75289,-6.166687,6.444068,-4.392394,5.8009076,13.755984,-7.8433523,21.11383,-45.105858,36.367233,1.5128312,5.0155816,9.762214,-6.7433777,-23.784763,44.51529,23.195395,-2.3165326,6.7301216,0.51371324
34,-1.3112553358078003,4.365556240081787,78.63086700439453,-1.4492329562006965,-1.1801690102782647,-81.32435932638585,-5.7790823,10.879604,1.856158,10.449139,-1.332119,-15.000033,3.8381205,-7.236218,-24.795757,6.7524743,-6.123808,6.374129,-4.340563,6.128076,14.101474,-7.969973,20.962456,-44.534077,36.328983,1.5614867,5.128234,9.869666,-7.1904435,-23.867943,44.502773,23.28002,-2.2511272,6.4444904,-0.027097682
35,-1.381605625152588,4.55146598815918,78.63346099853516,-1.4635356227118959,-1.2005862233952052,-80.87381150063999,-6.7191243,10.766763,1.201471,11.732675,-1.4504405,-15.000033,3.8359442,-7.2551513,-25.222185,6.753216,-6.06796,6.302139,-4.2770514,6.4635816,14.461018,-8.093751,20.781008,-43.953636,36.33906,1.6509602,5.269066,9.983567,-7.682906,-23.947144,44.50064,23.459988,-2.1800253,6.2231393,-0.5485514
36,-1.4513410329818726,4.748431205749512,78.63815307617188,-1.4599993695489544,-1.2268532255031068,-80.45232085042801,-7.6564374,10.613181,0.56170154,13.034255,-1.4993961,-15.000033,3.827456,-7.2994466,-25.615547,6.7569294,-6.005013,6.239074,-4.199794,6.7852635,14.820876,-8.186272,20.575344,-43.360767,36.36808,1.7477044,5.433012,10.11005,-8.211369,-24.025784,44.505177,23.691015,-2.177161,6.125974,-0.95715886
37,-1.5131986141204834,4.945162773132324,78.64640045166016,-1.4319647911698905,-1.2575705073012402,-80.0573464903132,-8.620654,10.412008,-0.06046074,14.402917,-1.485645,-15.000033,3.8070798,-7.3743577,-25.975605,6.7648096,-5.931537,6.1852565,-4.105966,7.0926557,15.1928005,-8.254151,20.347803,-42.74156,36.425777,1.867676,5.610537,10.249412,-8.789425,-24.105566,44.520226,24.00876,-2.2756455,6.182605,-1.2581862
38,-1.5686876773834229,5.140789985656738,78.6590347290039,-1.3879806578009948,-1.2934789817846954,-79.68441533076766,-9.619737,10.170556,-0.66732705,15.855238,-1.4313112,-15.000033,3.776997,-7.4727917,-26.309265,6.7752256,-5.8452063,6.1360836,-3.998046,7.3951993,15.580767,-8.303041,20.09938,-42.09952,36.51253,2.02215,5.8077145,10.398098,-9.417663,-24.186905,44.547474,24.416405,-2.4267387,6.3571877,-1.4913089
39,-1.6273273229599,5.3346147537231445,78.67044830322266,-1.3246085199892053,-1.3391956861690535,-79.34326796265756,-10.582498,9.894004,-1.2455369,17.279152,-1.3188275,-15.000033,3.7397392,-7.5986304,-26.60939,6.8079405,-5.765227,6.096056,-3.8814075,7.6824684,15.958895,-8.311569,19.837772,-41.46365,36.591194,2.1605089,6.042192,10.557227,-10.05944,-24.27349,44.576305,24.819271,-2.5931897,6.6125975,-1.6147096
40,-1.6699124574661255,5.535295486450195,78.68080139160156,-1.2415954216395841,-1.3987548687783062,-79.04364487905262,-11.449831,9.589106,-1.7822692,18.58897,-1.1382653,-15.000033,3.6242468,-7.7963037,-26.857721,7.0558734,-5.801514,6.070949,-3.7595382,7.942529,16.303104,-8.253729,19.575466,-40.862408,36.6153,2.233432,6.332153,10.7286415,-10.673571,-24.37124,44.592144,25.117687,-2.7386224,6.9092155,-1.587056
41,-1.7057876586914062,5.71947717666626,78.6924819946289,-1.1368683542708924,-1.4783792481887827,-78.77881108583128,-12.2214985,9.25502,-2.289854,19.773577,-0.86574453,-15.000033,3.517958,-8.029593,-27.073809,7.3400707,-5.865356,6.061523,-3.6387196,8.17071,16.624153,-8.126592,19.320444,-40.29654,36.612637,2.2160056,6.67605,10.931903,-11.27033,-24.48399,44.601357,25.348616,-3.0089552,7.3325295,-1.3309137
42,-1.7351452112197876,5.891702651977539,78.7044677734375,-1.0088613953046601,-1.5740618198662548,-78.5471609272739,-12.92951,8.889868,-2.7602096,20.889149,-0.5242098,-15.000033,3.394621,-8.310893,-27.253593,7.702308,-5.973113,6.066113,-3.5143502,8.370044,16.93292,-7.9345007,19.076195,-39.75108,36.577553,2.1373255,7.066546,11.160283,-11.860958,-24.613316,44.60623,25.533623,-3.3744385,7.8687377,-0.8879476
43,-1.7572749853134155,6.053862571716309,78.71961975097656,-0.8546638146197152,-1.676081571016391,-78.3660858037448,-13.556736,8.502764,-3.149929,21.935482,-0.16912332,-15.000033,3.2541046,-8.632741,-27.37645,8.101583,-6.094508,6.0824924,-3.374336,8.537809,17.20343,-7.6656632,18.852396,-39.2325,36.417347,2.0239086,7.512809,11.376536,-12.408442,-24.766703,44.58946,25.55218,-3.5359032,8.336356,-0.4004544
44,-1.7715314626693726,6.214138984680176,78.74165344238281,-0.6691040637318243,-1.7736208367714876,-78.25337415917276,-14.087243,8.104576,-3.4192483,22.911352,0.14568312,-15.000033,3.0695426,-9.0002775,-27.418196,8.555822,-6.2312574,6.108769,-3.2048156,8.67132,17.410458,-7.303537,18.663187,-38.746693,36.03122,1.9044338,8.024822,11.542981,-12.875043,-24.957624,44.532578,25.278337,-3.1863654,8.559077,-0.015604763
45,-1.7658405303955078,6.369807720184326,78.76605987548828,-0.4321533452156945,-1.8655779597594635,-78.21027358085529,-14.480654,7.6785836,-3.4956377,23.728424,0.5052803,-15.000033,2.8139646,-9.454732,-27.367254,9.122928,-6.4106565,6.153071,-3.003273,8.75247,17.549229,-6.840948,18.519974,-38.30304,35.391697,1.7126614,8.678611,11.627284,-13.24766,-25.20597,44.43087,24.664509,-2.1587248,8.446816,0.2679762
46,-1.7506252527236938,6.51563835144043,78.78934478759766,-0.14546281576306472,-1.953615593267656,-78.22914032294784,-14.769347,7.22699,-3.41026,24.429932,0.90305436,-15.000033,2.4922774,-9.99254,-27.231632,9.799386,-6.634682,6.2146487,-2.773926,8.779997,17.634886,-6.275092,18.428831,-37.893215,34.528313,1.4576533,9.44612,11.657839,-13.533465,-25.522604,44.292164,23.752966,-0.64021707,8.114916,0.5228359
47,-1.7235451936721802,6.653288841247559,78.81649017333984,0.156895021583342,-2.0331702956261113,-78.31381347611392,-15.045179,6.790585,-3.2978926,25.2132,1.1552633,-15.000033,2.1457875,-10.534407,-27.02188,10.467381,-6.8440814,6.2772393,-2.5166063,8.783102,17.673834,-5.5946,18.397034,-37.494995,33.423824,1.2793272,10.181666,11.684395,-13.7220745,-25.902428,44.115974,22.551285,1.1424143,7.696623,0.7064171
48,-1.6997849941253662,6.7758469581604,78.84651184082031,0.42346993259904525,-2.1033917445994357,-78.46770587724592,-15.382533,6.414773,-3.3142388,26.25349,1.0836761,-15.000033,1.8335418,-10.981264,-26.756859,10.984443,-6.9692354,6.322488,-2.234649,8.803899,17.676723,-4.785879,18.432608,-37.08454,32.057358,1.3164068,10.739677,11.752482,-13.813294,-26.32769,43.902367,21.07995,2.9645839,7.3190193,0.7660974
49,-1.6761822700500488,6.895143508911133,78.87474822998047,0.6167709906579719,-2.172100924789606,-78.70817994037466,-15.806655,6.1339464,-3.583145,27.649094,0.5546469,-15.000033,1.6042459,-11.25798,-26.437616,11.252016,-6.9611497,6.3352227,-1.9204553,8.878289,17.645128,-3.8190215,18.547016,-36.66433,30.36719,1.6915984,11.121675,11.892178,-13.808227,-26.78671,43.657776,19.304918,4.9913754,6.964056,0.61742836
50,-1.6537120342254639,7.013154029846191,78.89974975585938,0.7560402974026513,-2.2393375101240762,-79.02764689931266,-16.253393,5.9198003,-4.022277,29.25022,-0.28620255,-15.000033,1.4301214,-11.407822,-26.06414,11.340378,-6.8557053,6.325708,-1.5848695,8.9893265,17.579332,-2.686904,18.746616,-36.23223,28.354591,2.3021028,11.395374,12.06707,-13.714956,-27.276943,43.38517,17.239935,7.26325,6.5677786,0.3155132
51,-1.6219189167022705,7.124613285064697,78.92378234863281,0.8768856085879881,-2.2926702295618346,-79.39182517131766,-16.664572,5.7249784,-4.478543,30.866518,-1.2053701,-15.000033,1.2543373,-11.513342,-25.653416,11.366796,-6.7119136,6.314133,-1.2577317,9.098094,17.4892,-1.410019,19.026176,-35.75552,26.094997,2.9511828,11.512864,12.224819,-13.567543,-27.78936,43.08409,14.998039,9.382121,6.193205,0.0015237518
